grid_id,row,col,candidate_score,demand,suitability,grid_capacity,remaining_capacity_mw,grid_risk,existing_supply
34640,135,80,0.8099673390388489,0.7907763719558716,0.7150000333786011,0.8624244332313538,2.642303705215454,0.14915303885936737,0.0
45730,178,162,0.8082069158554077,0.9210774302482605,1.0,0.42912614345550537,1.5157281160354614,0.5851536989212036,0.0
38769,151,113,0.8081823587417603,0.9173467755317688,0.6975000500679016,0.6559702157974243,2.105522871017456,0.3522671163082123,0.0
35951,140,111,0.8076171278953552,0.8498152494430542,0.7075000405311584,0.7650918364524841,2.3892388343811035,0.25407135486602783,0.0
26714,104,90,0.8076066970825195,0.8408795595169067,0.7150000333786011,0.760899543762207,2.378338575363159,0.23398010432720184,0.0
43872,171,96,0.8071388006210327,0.8713974356651306,0.6975000500679016,0.7282251119613647,2.2933855056762695,0.2791804075241089,0.0
42344,165,104,0.8061925768852234,0.8223912715911865,0.7150000333786011,0.7974908947944641,2.4734764099121094,0.2172156572341919,0.0
27292,106,156,0.8057579398155212,0.8522399067878723,1.0,0.5289341807365417,1.7752289772033691,0.4748137593269348,0.0
51348,200,148,0.8036819100379944,0.7609817385673523,0.7150000333786011,0.8903203010559082,2.7148327827453613,0.12398878484964371,0.0
39790,155,110,0.803297221660614,0.879849374294281,0.6975000500679016,0.6968085765838623,2.211702346801758,0.3050133287906647,0.0
42068,164,84,0.803234338760376,0.7457524538040161,0.7150000333786011,0.9136805534362793,2.7755696773529053,0.09997272491455078,0.0
39799,155,119,0.8023219108581543,0.8850844502449036,0.6975000500679016,0.697680652141571,2.2139697074890137,0.32791832089424133,0.0
36455,142,103,0.8001229166984558,0.7933494448661804,0.7075000405311584,0.8258112668991089,2.547109603881836,0.1832113415002823,0.0
12578,49,34,0.799708366394043,0.707727313041687,0.6975000500679016,0.96971195936203,2.9212512969970703,0.03089551068842411,0.0
29000,113,72,0.7995001673698425,0.8155397176742554,0.7150000333786011,0.7808833122253418,2.4302966594696045,0.227990984916687,0.0
15195,59,91,0.7986749410629272,0.7080549597740173,0.7150000333786011,0.9526054859161377,2.876774311065674,0.04841630533337593,0.0
49984,195,64,0.7979161739349365,0.8731222152709961,0.6975000500679016,0.7288126945495605,2.2949130535125732,0.2701188027858734,0.1428571492433548
37762,147,130,0.7977843284606934,0.7442282438278198,1.0,0.6946980357170105,2.206214666366577,0.33654749393463135,0.0
57902,226,46,0.7971099615097046,0.6942962408065796,0.690000057220459,0.9881381392478943,2.9691591262817383,0.012666023336350918,0.0
12059,47,27,0.7956350445747375,0.7059028148651123,0.6675000190734863,0.9798076152801514,2.9474997520446777,0.020654229447245598,0.0
39797,155,117,0.795185923576355,0.8683128356933594,0.7150000333786011,0.6820470094680786,2.1733219623565674,0.3360031545162201,0.0
63768,249,24,0.7950066328048706,0.7455160617828369,0.6125000715255737,0.9534480571746826,2.878964900970459,0.049262214452028275,0.0
33649,131,113,0.7944348454475403,0.8123583197593689,0.7150000333786011,0.7756763696670532,2.4167587757110596,0.24805042147636414,0.0
43327,169,63,0.793584942817688,0.6984214782714844,0.6975000500679016,0.9631789922714233,2.9042654037475586,0.03857433423399925,0.0
12253,47,221,0.7933306097984314,0.843377947807312,0.4124999940395355,0.93067467212677,2.8197543621063232,0.06913620978593826,0.0
44883,175,83,0.7932550311088562,0.7389837503433228,0.6950000524520874,0.897040605545044,2.7323057651519775,0.10621678084135056,0.0
